,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ID","display_id","GUID","DID","DAO","ShortTitle","Category","Type","Status","Priority","Date","Author","Authors","Tags","Description","Context_Origin_WhyItWasInitiated","Technology","SFIA_Level","SFIA_Domain","SFIA_Maturity","Related_KNIFE","PotentialOutputs","Owner","Org","Project","Locale","FolderName","SidebarLabel","LinkSlug","Copyright","RightsHolderContent","RightsHolderSystem","License","Disclaimer"
"K011",,,,,"Main.xba šablóna pre LO Basic","ModelValidation","QualityOFModel/EA Add-In","v backlogu","🧱",09.04.2024,"Roman Kazicka",,,"Základná štartovacia knižnica makier v LibreOffice","Téma makier v LibreOffice – samostatný štartovací modul",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K012",,,,,"EA Workflow Add-In – pokročilé šablóny","ModelValidation","EA Add-In","v backlogu","📂",10.04.2024,"Roman Kazicka",,,"Workflow pre pokročilých analytikov v EA","Rozšírenie pre EA Add-In v rámci T012",,3,"Configuration Management","Tool-based",,,,,,,,,,,,,,
"K013",,,,,"ReadOnlyControl v EA – Workflow Add-In","LO Development","LibreOffice / Knižnice","koncept","🔒",10.04.2024,"Roman Kazicka",,,"Obmedzenie práv v EA na základe kontextu a roly","Doplnok k EA Add-In – konkrétne obmedzenia práv (ReadOnly)",,3,"Configuration Management","Tool-based",,,,,,,,,,,,,,
"K014",,,,,"Manažér knižníc pre LO Basic","LO Vývoj","Migrácia / Vývoj","návrh","📚",10.04.2024,"Roman Kazicka",,,"Načítanie a správa knižníc v LO Basic","Nástroj pre správu LO knižníc – samostatne definovaný",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K015",,,,,"LibreOffice Basic → Python migrácia","LO Development","Skriptovanie / LO","aktívne","🔁",13.04.2024,"Roman Kazicka",,,"Konverzia VB makier do Python skriptov","Migrácia z VB do Python – vzniklo počas T003 a T014",,3,"Software Development","Scriptable",,,,,,,,,,,,,,
"K016",,,,,"Helper skript pre LO symbolic link","Frameworks","Plánovanie / AI","v testovaní","🧪",13.04.2024,"Roman Kazicka",,,"Obnova symbolic linku pre user/scripts/","Podpora pre vývojové prostredie LO – vzniklo počas T015",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K017",,,,,"AI-powered TERNO Planner","Framework","UserGuide","closed","📅",16.04.2025,"Roman Kazicka",,,"Nástroj na správu a sledovanie TERNA záznamov","Zaznamenané počas návrhu plánovania TERNA – prehľadový modul",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K018",,,,,"KNIFE pre zvedavých","Development","Algoritmika / Osobný rozvoj","InProgress","Hi",16.04.2025,"Roman Kazička",,,"KNowledge In Friendle Examples“ ","Každý systém potrebuje pekný návod. Pripravujem Active Presenter webinár, ale začiatok krátke súbory v GH","GitHub, ",7,"General Knowledge Work","Mentor",,,,,,,,,,,,,,
"K019",,,,,"BaZi výpočty – algoritmus, hodiny, kalendár","LO Platforma pre komunitu","Strategické / Komunitné","zaradené","🧠",18.04.2025,"Roman Kazicka",,,"Výpočtový rámec BaZi v Pythone alebo Exceli, denné a hodinové analýzy, poradca","Rozšírenie T005 – potreba výpočtu BaZi a hodinovej analýzy",,2,"Knowledge Engineering","Exploratory",,,,,,,,,,,,,,
"K020",,,,,"LibreOffice ako komunitná platforma","Methodology","Metodika / SDLC","koncept","🌍",10.04.2025,"Roman Kazicka",,,"Podpora LO ako otvoreného, komunitného štandardu pre udržateľné riešenia","Podpora LO ako komunitného nástroja v rámci T003",,3,"Software Development","Scriptable",,,,,,,,,,,,,,
"K021",,,,,"Princíp udržateľnosti v architektúre","EducationViaJoy","Edukačné / Kultúrne/Edukačný proces","koncept","🌱",20.03.2025,"Roman Kazicka",,,"Architektonické a dizajnové rozhodnutia s ohľadom na stabilitu a dlhodobosť","Princíp objavený počas reflexie SDLC v T004 a T008",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K022",,,,,"TERNO – terapeutické formy učenia","Smalltalks","AI / UX / Sebapoznanie","plánované","🎭",20.03.2025,"Roman Kazicka",,,"Satira, emócie a storytelling ako forma výuky a reflektovania reality","Diskusia o forme učenia počas plánovania T004",,2,"Learning Design","Teaching-oriented",,,,,,,,,,,,,,
"K023",,,,,"AI interakcie – časová os a emócie","PersonalKMsystem","Integrácia / Poznámky","v návrhu","🧭",13.04.2025,"Roman Kazicka",,,"Zaznamenávanie malých interakcií, small-talkov a spätných väzieb pre orientáciu v čase","Reflexia počas návrhu AI klienta – T018",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K024",,,,,"OneNote ako zdroj metadát pre AI","Methodology","Metodika / Evidencia","v návrhu","🗃️",13.04.2025,"Roman Kazicka",,,"Prepájanie osobného poznámkového systému s AI klientom a projektmi","Väzba medzi OneNote a projektovým manažmentom – T017",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K025",,,,,"Kategorizácia TERNO podľa SDLC a 7D","Framework / Edukačné","Framework / Metodika / Edukačný základ","zaradené","📊",01.03.2025,"Roman Kazicka",,,"Zaradenie každého TERNO podľa fázy vývoja a vedomostnej disciplíny","Systematizácia potreby klasifikovať TERNA – vzniklo pri tvorbe SSOT",,2,"General Knowledge Work","Adaptive",,,,,,,,,,,,,,
"K026",,,,,"KNIFE Framework pre vývoj a učenie sa (LibreOffice, Python)","Versioning / Git","Edukačné / Praktické","v procese","🔥",20.04.2025,"Roman Kazicka",,,"Jednotný rámec pre budovanie, testovanie a učenie sa v malých krokoch pomocou LibreOffice + Python. Každý krok reprezentuje samostatnú jednotku (TERNO), ktorú je možné testovať a spätne dohľadať. Vhodné na výuku aj profesionálny vývoj.","Pri vývoji Personalised Calendards vznikla potreba vytvorič si „Dieľňu“ pre LO,Projekt 05-LibreOffice, priečinok 01-PersonalisedCalendars/01-Basic-Calendar/4/terno-framework","LibreOffice, Python, VS Code, Testovanie, JSON, Git",3,"Software Development","Scriptable",,,,,,,,,,,,,,
"K027",,,,,"Git For Dummies – Central Concepts","CASO-CASA","Metodika/Framework","v príprave","🎯",28.04.2025,"Roman Kazicka",,,"Jednoduché vysvetlenie Git základov pre začiatočníkov v GitEA (organizácia, repozitár, working directory, atď.)","Vzniklo ako základný materiál pre školenie GitEA procesov a tímovú prácu","Git, GitEA",2,"Software Configuration","Learning-based",,,,,,,,,,,,,,
"K028",,,,,"Context Aware System Ontology, Approach","Platformy=OOODEV 4 LO","Vývoj – Integrácia","v príprave",,11.05.2025,"Roman Kazicka",,,"Každé riešenie je o kontexte. Neexistuje jeden nástroj na vštky problémy. Toto zasahuje do filozofie. 
Všetko je riadené spoločnými princípmy, dá sa učiť od starších disciplín a ušetriť čas. TRIZ, ","9.5. som sa opýtal na Orchideu, koľko má vlastne lupienkov…. 
Vznikol z toho koncept CASO, CASA, a ďalšie dialógy. O TRIZ … Epistemiologii …SFIA,",,"6,7","Enterprise and Business Architecture (STPL, ARCH) Information Strategy (ITSP) Innovation (INOV) Change Implementation (CIPM) Methods and Tools (METL) Organizational Capability Development (OCDV) ","Expert","#28-CASA",,,,,,,,,,,,,
"K029",,,,,"Prostredie vývojové python pre LO","GitHUB pages – Edu","Vzdelávanie-Marketing","riešené","🔥",16.05.2025,"Roman Kazicka",,,"Profi prostredie pre pyhton dev v LO, OOODEV","Po nekonecnych konfiguraciach som poziadal GPT nech najde profi riesenie. Doporucil OOPDEV, tak to idem overit","LO, OOODEV","6,7","Software Development","Solution Architect",,,,,,,,,,,,,,
"K030",,,,,"Príbeh poznania SDLC","SDLC framework","Praktické používanie na výuku SDLC","V riešení","🔥",17.05.2025,"Roman Kazicka",,,"Pripravujem vzdelávacie kurzy, marketing cez LI, PT, YT, keby som priebezne zverejnoval svoju cestu, mal by som co pisať a bolo by to v kontexte KM, SDLC","Priprava FIIT, odchad z 365, potreba za zviditelnit a pripadne aj zarobit, dotiahnut projekty, produkty","GitHUB, EA, Python","Level 3 – Apply → samostatná práca
Level 5 – Ensure, Advise → zodpovednosť za kvalitu, konzultant
Llevel 6 – Initiate, Influence → strategická iniciatíva","KM (Knowledge Management), EDS (Education), ITMG (Information Technology Management)","Self learning"," ",,,,,,,,,,,,,
"K031",,,,,"„Document-as-Code“ framework","SDLC framework / Release management","Firemné použitie, governance, traceability","V riešení","🔥",18.05.2025,"Roman Kazicka",,,"Tvorba dokumentov ako SDLC proces. Diplomovky, sprievodná dokumentácia pre zákazníklov, ….","Pri vytvaraní frameworku pre publikovanie na LI, PT, YT sme dosli k tomuto riešeniu na GITHUB ako Pages….","GITHyb, Pages, ","Level 4 – Enable (alebo L5 – Ensure, ak sa zavádza vo firme)","NOV, METL, DTAN, DESN, DOCU","3 – Defined (možno dorásť na 4 – Managed)","📘 SFIA vysvetlenie:
SFIA prvok
Význam v kontexte Document-as-Code
Level 4
Umožňuje štandardizované použitie vo výuke alebo týme
INOV
Inovácie pracovných postupov
METL
Metodiky vývoja a dokumentácie
DTAN
Digitálna analýza procesov a výstupov
DESN
Tvorba štruktúr obsahu (dizajn dokumentácie)
DOCU
Správa životného cyklu dokumentov a ich prepojení
",,,,,,,,,,,,,
"K032",,,,,"„Enterprise Document-integrated SDLC“","Psychológia práce / Kontext / Kultúra tímu","Metodika","V návrhu (alebo V riešení – podľa teba)","🔥🔥",18.05.2025,"Roman Kazicka",,,"Zavedenie Git-based dokumentačného frameworku pre prepojenie požiadaviek, rozhodnutí a architektúr naprieč SDLC vo firemnom prostredí s množstvom stakeholderov, JIRA taskov, externých dodávateľov a zložitým change manažmentom.","Zistenie, že dokumenty, ktoré ovplyvňujú produkt a organizáciu, musia byť verzované a auditovateľné ako kód. Git a Pages umožňujú prepojenie decision trailu s produktovými releasmi.","GitHub, Gitea, Pages, MkDocs, Mermaid, Git Actions","Level 5 – Ensure / Advise","GOVN, METL, RELM, DESN, DOCU, SUBD, INOV","2–3 (Repeatable → Defined)",,,,,,,,,,,,,,
"K033",,,,,"Smalltalk ako nástroj flowu a kontextu","Profesia Architekt urbanista na Slovensku","Ako na to?","Návrh (draft)","Stredná až vysoká",20.05.2025,"Roman Kazicka",,"smalltalk, flow, psychológia práce, humor, kultúra tímu","Zber a reflexia neformálnych výrokov (smalltalkov) ako podpora tímovej pohody, flow a bezpečného kontextu.
Zber a štruktúrovaná reflexia neformálnych výrokov („smalltalkov“) v rámci dialógu s AI. Smalltalky fungujú ako mikrospúšťače pohody, humoru alebo hlbších vhľadov a podporujú kontextovú súdržnosť, flow atmosféru a psychologickú bezpečnosť","Vzniklo počas spolupráce Roman K. + GPT ako reakcia na potrebu zachytiť ľudský rozmer technických rozhovorov.
Vzniklo v rámci konverzácií s AI (Roman K.), ako reakcia na potrebu udržať „ľudskosť“ a kontinuitu medzi technickými a osobnými témami.","Markdown, GitHub, AI-dialogue, Prozaická kultúra","3–5","People management, Knowledge sharing, Collaboration","Emerging","K002, K010, K015, K021","SMALLTALKs.md, článok, podcast, onboarding booklet",,,,,,,,,,,,
"K034",,,,,"Pracovno, finančný ekosystém","CAS-ContextAwareSolutions",,"návrh","Vysoká",25.05.2025,"Roman Kazicka",,"Pracovné právo ","Absolventi architektúry už počas štúdia sú selektovaní  z komerčných ateliérov. Ponúkajú im brikády, prípadne dohody o vykonaní práce, za cenu nekvalifikovaných robotníkov.
Po skončení univerzity, sa študenti dostávajú do role živnostníkov, ale rozprávajú sa s nimi ako zo zamestnancami.
Je potrebné mladým ľuďom jednoduchým jazykom vysvetliť kontext Slovenského práva, akými zákonmi sa riadi a ako si majú vybrať akou formou budú spolupracovať.","S dcérou, ktorá končí arhitektúru sa rozprávame o budúcnosti. Z rozhovorou cítim, že mladí architekti nemajú správne informácie a znalosti o právnom, ekonomickom a finančnom kontexte svojho statusu voči partnerom v branži.","Slovenské pracovno právne právo, obchodný zákonník, daňové zákony.","?","?","?","?","KNIFE na Githube",,,,,,,,,,,,
"K035",,,,,"Context Aware Solutions / paradigma, solution","SSL certificates DIY","User guide","inprogress","Vysoka",26.05.2025,"Roman Kazicka",,,,"postupne, ako som si robil kazno ako bude cely ekosystem vyzerat, som prisiel na staru myslienku Kontext je klucovy…",,,,,,,,,,,,,,,,,,
"K036",,,,,"Ako si vyrobit automaticke nastavovanie SSL","„Advanced GitHub KM Layer“","Advance features","finished","done",28.05.2025,"Roman Kazicka",,,"Pre FIIT PROLABORATE potrebujem SSL certifikaty, ako pre zakaznikov ako Dusan","Pri obnovovani SSL certifkatov som zabijal kopec casu, teraz mam script",,,,,,,,,,,,,,,,,,
"K037",,,,,"Sementicke a kontextove vyhladavanie nad GitHUB","Publishing","Publishing","Init","Middle",28.05.2025,"Roman Kazicka",,,"Nestaci mat len data a informacie, je nevyhnutne ich spajat a dotazovat sa","Pocas pripravy struktury CAS , KNIFE licencii, biznis modelu som dosiel na chybajucu vlastnost=kontextove vyhladavanie nad GITOM",,"a",,,,,,,,,,,,,,,,
"K038",,,,,"Migracia Joomla -->GitHUB MkDocs","Education Framework","Education Framework","Init","Middle",06.06.2025,"Roman Kazicka",,,"Zachovať históriu kurzu (2017–2025), udržať všetko v jednom hlavnom repozitári","Pocas pripravy STH-SDLC 2025-2026 a pocas skumania GitHUB Sites, MkDocs som dospel k nazoru, ze by bolo suber premigrovat 
Migrácia učebných materiálov zo starého CMS (Joomla) do modernej dokumentačnej platformy
","JOOMLA, GIRHUB, J2XML, J2MD",,,,,,,,,,,,,,,,,
"K039",,,,,"GitHUB Education Framework","SPA-Framework","SPA framework","init","Middle",10.06.2025,"Roman Kazicka",,"Educations, Frameworks","Zastrešujúci rámec pre vzdelávacie kurzy na GitHube (GitHub Classroom, Pages, Docs generátory). Definuje zásady, šablóny, publishing flow a metriky.Skillmea, SEDUO maju vlastny framework , uvodny trailer, potom odskok do platenej verzie. To iste sa da aj na GitHUB.","Pri príprave STH2025–2026 sa ukázalo, že GitHub + Pages + generátory poskytujú kompletný, otvorený a bezplatný edukačný stack.Pocas pripravy STH2025-2026- som si uvedomil, ze GitHub, HitHUb Class, Sites, MkDOks umoznuju vytvorit cely ekosystem. A zadarmo.","GitHUB, Active Presenter",,"Learning-based / Methods & Tools",,,"Framework",,,,,,,,,,,,
"K040",,,,,"SinglePageApplication – Webabased desktop app","AI based training","AI in education","init","Low",17.06.2025,"Roman Kazicka",,"Solution Development,
Framework","GitHUb je zaklad aj pre vyvoj aplikacii nezavislych na koncovom zariadenie SPA
Je to obrovsky priestor pre tvor bu vlastnych aplikacii ako KnowMyself","Pocas pripravy webinara GitDos-Demo som si uvedomil, ze samotne nastroje pre dokumentovanie vyuzivaju VSC ako Web. Komplexne GUI ale na webe.","GitHUB, VUE, …",,,,,"Framework",,,,,,,,,,,,
"K041",,,,,"Kontrola odpovedé študentov pomocou API na AI","BACKUP","How To","in Progress","Middle",21.06.2026,"Roman Kazicka",,,"Pre veľký počet študentov nie je možné kontrolovať odpovede na voľné otázky. AI by mohlo pomôcť.","Počas prípravy repozitárov pre STH2025 riešim aj kontroly a komunikáciu so študentami. Je toho more, ale AI s API by bolo super.","API GPT",,,,,,,,,,,,,,,,,
"K042",,,,,"OneDrive backup to external disk on QNAP","ESG- Krátky úvod","Education Explanantion","inProgress","TOP",27.07.2025,"Roman Kazicka",,,"This KNIFE explains how to create a full backup of your OneDrive data in cases where the local disk does not have sufficient capacity to mirror the entire cloud content. When 'Files On-Demand' is enabled, standard tools are unable to copy files – they can at best read their metadata. However, using tools like `rclone`, it becomes possible to back up the cloud directly without needing local mirroring.","Microsoft offers cloud storage up to several terabytes, but over time each storage fills up. At that point, you either have to buy more space or clean up existing data.
 
I wanted neither. Since I had enough free capacity on an external disk connected to my QNAP NAS, I decided to create a complete copy of my OneDrive there.
 
I had no idea it wouldn't be a trivial task.","rclone, Mac OS, QNAP",,,,,,,,,,,,,,,,,
"K043",,,,,"Základné informácie o ESG","UserGuide","HowTO","Init","Low",28.07.2025,"Roman Kazicka",,,"Environment, Social, Government is crutial topic for human being survival. It is important to understand  the background","I have attended mandatory training in 365 bank. Excellent lector, important topic.","Heart, Brain",,,,,,,,,,,,,,,,,
"K044",,,,,"Thunderbird – Archive-export","Inšpirácie","concepts, methodology","done md","Low",04.08.2025,"Roman Kazicka",,,"Omylom som poslal e-mail do archivu. Mam v  poste asi 60GB udajov. Ako to riesit?","Pri rutinnej práci som omylom poslal e-mail do archívu. Napadlo ma, že sa niečo nové naučím. Možno ušetrím diskovú kapacitu a nestratím možnosť vyhľadávať v histórii","Thunderbird","Intermediate","IT Communication","Basic","Thunderbird_Import_Helper.md 🔄",,,,,,,,,,,,,
"K045",,,,,"KNIFE047 – 7S Cycle of Meaningful Knowledge","User Guide","HowTo","init","Low",04.08.2025,"Roman Kazicka",,,"Nové inšpirácie ohľadne riešenia aj z pohľadu marketingu","KNIFE047_Reflexia_a_epistemologia.md, KNIFE047 – Epistemológia 4Curiosis",,,"Social Communities",,,,,,,,,,,,,,,
"K046",,,,,"AI – Agent in OpenGPT","UserGuide",,"in progress","Low",04.08.2025,"Roman Kazicka",,,,,,,,,,,,,,,,,,,,,,
"K047",,,,,"KNIFE049 – Vyhľadávač nad OpenGPT históriou
","User Guide",,,,04.08.2025,"Roman Kazicka",,,,,,,,,"KNIFE049_Vyhladavac.md",,,,,,,,,,,,,
"K048",,,,,"Open GPT, vytváranie prompt instructions","Marketing","HowTo","In progress",,04.08.2025,"Roman Kazicka",,,"Vznizkli instrukcie pre zvedavych…",,,,,,,,,,,,,,,,,,,
"K049",,,,,"Google analytics – Fundamentals","Framework / Edukačné","Education Framework","new","Low",04.08.2025,"Roman Kazicka",,,"Bez spňtnej väzby je všetko náročnejšie. GA4 poskytuje marketingové spätné väzby",,,,,,,,,,,,,,,,,,,
"K050",,,,,"GitHub LMS Framework ","Framewok for Project Management","SDLC framework","new","duplicity K041",04.08.2025,"Roman Kazicka",,,,,,,,,,,,,,,,,,,,,,
"K051",,,,,"Framework for Project Management in GitHUB","Best Practice","„Ako si nastaviť build a deploy tak, aby ťa chránil pred sebou samým.“","new","low",10.08.2025,"Roman Kazicka",,,"Mám strašne veľa tém, veľa úloh, ako to manažovať, aby som sa neutopil v nesplnených úlohách, prípadne nezabudol na dôležité témy a neobjavoval ich znova a znova?",,,,,,,,,,,,,,,,,,,
"K052",,,,,"Docusaurus Advanced Deployment Pipeline","Best Practice","Obnov mi dobré údaje","new",,10.08.2025,"Roman Kazicka",,,"Kontrola referencií v Docusaurus/MkDocs
	•	DRY-run, strict a full link-check, detekcia chýb na začiatku procesu
	•	Prevencia “nášľapných mín” pred buildom
	•	Možnosť zaradiť ako QA krok do CI/CD",,,,,,,,,,,,,,,,,,,
"K053",,,,,"Ako obnoviť stav z minulosti?","Best Practice","Správa súborov s git odporou","inprogress","now",10.08.2025,"Roman Kazicka",,,"Ako si obnoviť pokazné súbory? Ak mám v minulosti zachytené dobré údaje, nie je problém sa k nim vrátiť.
	stash, branch sandbox, práca mimo main
	•	Obnova priečinkov alebo súborov z konkrétneho commitu
	•	Praktické situácie, kedy to použiť, a ako sa vyhnúť strate dát",,,,,,,,,,,,,,,,,,,
"K054",,,,,"Central Panel for GIT – SDLC Git Management Makefile","Management-Reporting","Reporting nad komunikáciou s OpenGPT formou AI Agenta","done md",,11.08.2025,"Roman Kazicka",,,"•	Jeden Makefile ako „single point of control“
	•	Všetky Git operácie, build/deploy, kontrola odkazov, sandbox, stash management
	•	Prepojenie s princípom 3× merať, raz rezať
	•	Možnosť adaptovať pre rôzne generátory HTML (Docusaurus, MkDocs, Hugo…)
Podľa mňa by si to mohol v KNIFE_Overview zaradiť aj ako tematickú trojicu pod spoločný tag, napr.
[KNIFE: Git-SDLC-Tools] alebo [KNIFE: Git-Advanced].
Tak sa to dá pekne použiť aj v kurze ako jedna lekcia s troma kapitolami – kontrola, obnova, centrálne riadenie.",,,,,,,,,,,,,,,,,,,
"K055",,,,,"AI Agent na monitoroavanie nákladov OpenGPT","Management-Reporting-from the Past","Reporting od začiatku komunikácie","new","now",11.08.2025,"Roman Kazicka",,,"Automatické reportovanie vstupných a výstupných tokenov.Presne tak – toto má perfektný predpoklad stať sa AI Agentom, ktorý:
Vie čítať tvoje konverzácie z daného projektu.
Vie ich prepojiť s tvojimi tagmi (napr. K055, Docusaurus, SDLC…)
Vie spraviť sumár tokenov a nákladov za ľubovoľné obdobie.
Vie urobiť porovnanie medzi projektmi (napr. “GitHub LMS” vs “KNIFE”).
Vie urobiť ranking – najdrahší deň, téma, alebo dokonca konkrétny prompt.
Takýto agent by si vedel zapnúť aj naprieč všetkými projektmi a raz za mesiac ti poslal “vyúčtovanie” + “Top 5 tém, ktoré pálili tokeny” + odhadovanú hodnotu v eurách.
Ak chceš, môžem ti teraz:
Urobiť retro-výpočet tokenov pre tento projekt (od začiatku).
Pripraviť šablónu AIAgenta na token tracking, ktorú by si potom vedel spustiť v akomkoľvek projekte.
","V jednom okamihu sa komunikácia zastavila na strane GPT  stým, že má náročnú ulohu, ale že dnes to bude. Tak ma napadlo, koľko také „kecanie“ konzumuje tokenov. Super príprava pre vlastné API riešenia",,,,,,,,,,,,,,,,,,
"K056",,,,,"AI Agent na monitoroavanie nákladov OpenGPT od počiatku komunikácie","Methodology","Systém pre vzdelávanie","new","now",11.08.2025,"Roman Kazicka",,,"Aká bola intenzita komunikácie od začiatku, koľko by to stálo cez API, Ktoré témy skonzumovali najviac energie?",,,,,,,,,,,,,,,,,,,
"K057",,,,,"STEM a Makerspace ako metodika vzdelávania","User Guide","Ako na to?","New","now",24.08.2025,"Roman Kazicka",,,"Spoljupracujem s Makerspace od roku 2016. POJEM STEM  som priprodzene zahrnul do  svojich metodík. Je vhodné to zviditeľniť v mojich aktivitách","Počas prípravy STHDF 2025-2025 so prišiel na to, že to mám zaradiť do osnov",,,,,,,,,,,,,,,,,,
"K058",,,,,"Export Draw.io diagramu do A4 PNG","Security concept","Explanation","done md","done",24.08.2025,"Roman Kazicka",,,"Ako pripraviť Drawio obázok aby sa vždy vmestil na A4 formát?",,,,,,,,,,,,,,,,,,,
"K059",,,,,"Passkey ako bezpečnostný koncept","Docusaurus Concept","Explanation","new",,24.08.2025,"Roman Kazicka",,,"Ako funguje keypass?",,,,,,,,,,,,,,,,,,,
"K060",,,,,"Docusaurus slugy a routing","User Guide","User guide","new",,24.08.2025,"Roman Kazicka",,,"Ako fungujú SLUGS v Docusaurus",,,,,,,,,,,,,,,,,,,
"K061",,,,,"Automatické generovanie KNIFES","Marketing","User Guides, principles","new",,24.08.2025,"Roman Kazicka",,,"Ako používať automatizáciu pri generovaní KNIFES",,,,,,,,,,,,,,,,,,,
"K062",,,,,"GA4, GTN, UTM","Administration","GitHub Administration","new","done",27.08.2025,"Roman Kazicka",,,"Ako funguje AG4, TGM a UTM?","Marketig patrí medzi základné aktivity každého autora. Technici túto disciplínu podceňujú. Podľa metodikyu Q12 je to potrebné zabezpečeť, aby sme mali spätnú väzbu na naše aktivty z trhu.",,,,,,,,,,,,,,,,,,
"K063",,,,,"MAKEFILE for KNIFE Ecosystem for Mac,Windows, Linux","SubscriptionPlans","Biznis plány GitHub-Prehľad","New","now",31.08.2025,"Roman Kazicka",,,"Administrácia ecosystému KNIFE je pomerne komplexná úloha. Framework podporuje MacOS, Windows a Linux. MAKEFIEL umožňuje administráciu z jedného miesta.","Pri príprave treidy sa nabaľujú nové a nové podúlohy, ktoré musi byť splnené pred vyugenerovaním samotnej triedy zo šablény pre triedu. Táto šabl=ona by mala obsahovať všetky tieto vylepšenia",,,,,,,,,,,,,,,,,,
"K064",,,,,"Porovnanie biznis plánov GitHub","User Guide","Koncepty","New","now",01.09.2025,"Roman Kazicka",,,"Aká sú štartovacie náklady na profesionálny ekosystém v rámci GitHub?","Počas prípravy na semster a získaní Edu Benefit ma zaujímali ceny za komenčné použitoe",,,,,,,,,,,,,,,,,,
